country,state,city,station,last_update,latitude,longitude,pollutant_type,pollutant_min,pollutant_max,pollutant_avg
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",25-03-2025 10:00,8.5149093,76.9435879,NO2,4,12,9
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",25-03-2025 10:00,14.4758,75.9052,OZONE,19,20,19
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",25-03-2025 10:00,15.459706,75.008381,PM10,59,73,67
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",25-03-2025 10:00,15.459706,75.008381,SO2,1,4,2
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",25-03-2025 10:00,15.459706,75.008381,OZONE,6,39,8
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB",25-03-2025 10:00,15.411456,75.638133,NO2,1,37,15
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",25-03-2025 10:00,17.336318,76.847397,NO2,10,21,13
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB",25-03-2025 10:00,14.816666,74.141003,SO2,23,24,24
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB",25-03-2025 10:00,14.816666,74.141003,CO,10,10,10
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",25-03-2025 10:00,12.88925,74.853,PM10,0,0,0
India,Madhya Pradesh,Indore,"Vijay Nagar Scheme-78, Indore - Glenmark",25-03-2025 10:00,22.76726,75.8871,PM2.5,50,54,52
India,Madhya Pradesh,Indore,"Vijay Nagar Scheme-78, Indore - Glenmark",25-03-2025 10:00,22.76726,75.8871,SO2,27,29,28
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",25-03-2025 10:00,23.163174,79.973061,SO2,5,28,11
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",25-03-2025 10:00,23.142888,79.916147,PM10,9,103,57
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",25-03-2025 10:00,23.142888,79.916147,OZONE,3,121,39
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",25-03-2025 10:00,23.168606,79.932247,PM2.5,5,179,56
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",25-03-2025 10:00,23.168606,79.932247,PM10,29,246,98
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",25-03-2025 10:00,23.168606,79.932247,NO2,21,93,43
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",25-03-2025 10:00,26.203442,78.193251,SO2,13,19,16
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",25-03-2025 10:00,26.203442,78.193251,CO,20,113,32
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",25-03-2025 10:00,26.259242,78.216432,NH3,5,8,7
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",25-03-2025 10:00,26.259242,78.216432,SO2,16,17,17
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",25-03-2025 10:00,26.200388,78.147714,OZONE,7,128,69
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",25-03-2025 10:00,22.7289,75.8076,OZONE,4,25,10
India,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",25-03-2025 10:00,24.2613009,80.7231783,SO2,8,9,8
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",25-03-2025 10:00,23.10844,77.511428,PM2.5,52,442,175
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",25-03-2025 10:00,23.10844,77.511428,SO2,13,111,53
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",25-03-2025 10:00,23.10844,77.511428,CO,43,66,65
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",25-03-2025 10:00,22.624758,75.675238,PM10,94,258,139
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",25-03-2025 10:00,10.5324,76.2159,NO2,8,10,9
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",25-03-2025 10:00,10.5324,76.2159,CO,12,24,12
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",25-03-2025 10:00,10.5324,76.2159,OZONE,28,34,28
India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",25-03-2025 10:00,23.264759,77.381568,NO2,14,58,30
India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",25-03-2025 10:00,23.264759,77.381568,NH3,3,6,4
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",25-03-2025 10:00,22.624758,75.675238,CO,13,87,48
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",25-03-2025 10:00,23.838586,78.759431,NO2,5,58,19
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",25-03-2025 10:00,23.8640158,78.80289321,NO2,6,101,27
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",25-03-2025 10:00,23.218135,79.95777,SO2,14,34,24
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",25-03-2025 10:00,23.50016,80.23284,NH3,2,4,3
India,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",25-03-2025 10:00,24.2613009,80.7231783,PM2.5,4,61,27
India,Madhya Pradesh,Satna,"Bandhavgar Colony, Satna - Birla Cement",25-03-2025 10:00,24.58434363,80.8549414,CO,10,29,26
India,Madhya Pradesh,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",25-03-2025 10:00,24.10897,82.64558,NH3,1,9,4
